county,precinct,candidate,first_exp,final_exp,sde
Adair,1NW ADAIR,Bennet,0,0,0.0
Adair,1NW ADAIR,Biden,6,6,0.0784
Adair,1NW ADAIR,Bloomberg,0,0,0.0
Adair,1NW ADAIR,Buttigieg,8,8,0.0784
Adair,1NW ADAIR,Delaney,0,0,0.0
Adair,1NW ADAIR,Gabbard,0,0,0.0
Adair,1NW ADAIR,Klobuchar,8,8,0.1569
Adair,1NW ADAIR,Other,0,0,0.0
Adair,1NW ADAIR,Patrick,0,0,0.0
Adair,1NW ADAIR,Sanders,9,9,0.1569
Adair,1NW ADAIR,Steyer,0,0,0.0
Adair,1NW ADAIR,Uncommitted,0,0,0.0
Adair,1NW ADAIR,Warren,9,9,0.1569
Adair,1NW ADAIR,Yang,0,0,0.0
Adair,2NE STUART,Bennet,0,0,0.0
Adair,2NE STUART,Biden,6,0,0.0
Adair,2NE STUART,Bloomberg,0,0,0.0
Adair,2NE STUART,Buttigieg,10,15,0.3137
Adair,2NE STUART,Delaney,0,0,0.0
Adair,2NE STUART,Gabbard,0,0,0.0
Adair,2NE STUART,Klobuchar,9,10,0.1569
Adair,2NE STUART,Other,0,0,0.0
Adair,2NE STUART,Patrick,0,0,0.0
Adair,2NE STUART,Sanders,10,10,0.2353
Adair,2NE STUART,Steyer,7,7,0.1569
Adair,2NE STUART,Uncommitted,0,0,0.0
Adair,2NE STUART,Warren,0,0,0.0
Adair,2NE STUART,Yang,1,1,0.0
Adair,4SE ORIENT,Bennet,0,0,0.0
Adair,4SE ORIENT,Biden,7,7,0.1569
Adair,4SE ORIENT,Bloomberg,0,0,0.0
Adair,4SE ORIENT,Buttigieg,6,6,0.1569
Adair,4SE ORIENT,Delaney,0,0,0.0
Adair,4SE ORIENT,Gabbard,0,0,0.0
Adair,4SE ORIENT,Klobuchar,6,6,0.1569
Adair,4SE ORIENT,Other,0,0,0.0
Adair,4SE ORIENT,Patrick,0,0,0.0
Adair,4SE ORIENT,Sanders,6,6,0.0784
Adair,4SE ORIENT,Steyer,0,0,0.0
Adair,4SE ORIENT,Uncommitted,0,0,0.0
Adair,4SE ORIENT,Warren,9,9,0.2353
Adair,4SE ORIENT,Yang,0,0,0.0
Adair,5GF GREENFIELD,Bennet,0,0,0.0
Adair,5GF GREENFIELD,Biden,8,0,0.0
Adair,5GF GREENFIELD,Bloomberg,0,0,0.0
Adair,5GF GREENFIELD,Buttigieg,10,12,0.1569
Adair,5GF GREENFIELD,Delaney,0,0,0.0
Adair,5GF GREENFIELD,Gabbard,0,0,0.0
Adair,5GF GREENFIELD,Klobuchar,26,32,0.3922
Adair,5GF GREENFIELD,Other,0,0,0.0
Adair,5GF GREENFIELD,Patrick,0,0,0.0
Adair,5GF GREENFIELD,Sanders,16,21,0.3137
Adair,5GF GREENFIELD,Steyer,0,0,0.0
Adair,5GF GREENFIELD,Uncommitted,0,0,0.0
Adair,5GF GREENFIELD,Warren,6,0,0.0
Adair,5GF GREENFIELD,Yang,12,13,0.1569
Adams,Adams 1,Bennet,0,0,0.0
Adams,Adams 1,Biden,5,5,0.0857
Adams,Adams 1,Bloomberg,0,0,0.0
Adams,Adams 1,Buttigieg,7,7,0.1714
Adams,Adams 1,Delaney,0,0,0.0
Adams,Adams 1,Gabbard,0,0,0.0
Adams,Adams 1,Klobuchar,5,5,0.1714
